question,reference,generated,rouge1,rouge2,rougeL
How many people are affected by congenital sucrase-isomaltase deficiency ?,"The prevalence of congenital sucrase-isomaltase deficiency is estimated to be 1 in 5,000 people of European descent. This condition is much more prevalent in the native populations of Greenland, Alaska, and Canada, where as many as 1 in 20 people may be affected.","The incidence of congenital sucrase-isomaltase deficiency is unknown. It is thought to be rare, but it is underdiagnosed because people with the condition may not be tested for it unless they are experiencing symptoms. Most cases are inherited in an autosomal recessive pattern. Autosomal recessive disorders occur when an individual inherits a mutated gene from each parent. If one parent carries one copy of the mutated gene, but the other parent is unaffected and does not carry the mutated gene, the child has a 50% chance of inheriting the mutated gene. If both parents carry one copy of the mutated gene, the child has",0.25333333333333335,0.08108108108108107,0.18666666666666668
What is (are) Essential Thrombocythemia ?,Key Points - Essential thrombocythemia is a disease in which too many platelets are made in the bone marrow. - Patients with essential thrombocythemia may have no signs or symptoms. - Certain factors affect prognosis (chance of recovery) and treatment options for essential thrombocythemia. Essential thrombocythemia is a disease in which too many platelets are made in the bone marrow. Essential thrombocythemia causes an abnormal increase in the number of platelets made in the blood and bone marrow.,"Essential thrombocythemia is a rare disorder in which the bone marrow produces too many platelets. Platelets are blood cells that form clots to stop bleeding. In people with essential thrombocythemia, the platelets build up in the bone marrow and in the blood. This condition is called a myeloproliferative disorder because it causes the overproduction of cells in the bone marrow. The overproduction of platelets in people with essential thrombocythemia causes their blood to have too many platelets, which increases the risk of blood clots. The signs and symptoms of essential thrombocythemia include a low-grade fever,",0.5730994152046783,0.28402366863905326,0.3391812865497076
What is (are) Potassium aggravated myotonia ?,"Potassium aggravated myotonia is a group of diseases that causes tensing and stiffness (myotonia) of skeletal muscles, which are the muscles used for movement. The three types of potassium-aggravated myotonia include myotonia fluctuans, myotonia permanens, and acetazolamide-sensitive myotonia. Potassium aggravated myotonia is different from other types of myotonia because symptoms get worse when an affected individual eats food that is rich in potassium. Symptoms usually develop during childhood and vary, ranging from infrequent mild episodes to long periods of severe disease. Potassium aggravated myotonia is an inherited condition that is caused by changes (mutations) in the SCN4A gene. Treatment begins with avoiding foods that contain large amounts of potassium; other treatments may include physical therapy (stretching or massages to help relax muscles) or certain medications (such as mexiletine, carbamazapine, or acetazolamide).","Potassium aggravated myotonia is a type of myotonia (myo-toe-ne-a), a condition characterized by muscle stiffness that does not relax easily. This condition is usually diagnosed in infancy or early childhood. The symptoms of potassium aggravated myotonia are worsened when a person with the condition eats foods that are high in potassium. Such foods include bananas, potatoes, oranges, tomatoes, and leafy green vegetables. The signs and symptoms of potassium aggravated myotonia include muscle stiffness, stiffness of the joints, muscle cramping, and muscle pain. Treatment of potassium aggrav",0.48648648648648646,0.15454545454545454,0.25225225225225223
What are the genetic changes related to adenosine deaminase deficiency ?,"Adenosine deaminase deficiency is caused by mutations in the ADA gene. This gene provides instructions for producing the enzyme adenosine deaminase. This enzyme is found throughout the body but is most active in specialized white blood cells called lymphocytes. These cells protect the body against potentially harmful invaders, such as bacteria and viruses, by making immune proteins called antibodies or by directly attacking infected cells. Lymphocytes are produced in specialized lymphoid tissues including the thymus, which is a gland located behind the breastbone, and lymph nodes, which are found throughout the body. Lymphocytes in the blood and in lymphoid tissues make up the immune system. The function of the adenosine deaminase enzyme is to eliminate a molecule called deoxyadenosine, which is generated when DNA is broken down. Adenosine deaminase converts deoxyadenosine, which can be toxic to lymphocytes, to another molecule called deoxyinosine that is not harmful. Mutations in the ADA gene reduce or eliminate the activity of adenosine deaminase and allow the buildup of deoxyadenosine to levels that are toxic to lymphocytes. Immature lymphocytes in the thymus are particularly vulnerable to a toxic buildup of deoxyadenosine. These cells die before they can mature to help fight infection. The number of lymphocytes in other lymphoid tissues is also greatly reduced. The loss of infection-fighting cells results in the signs and symptoms of SCID.","ADA deficiency is caused by mutations in the ADA gene. This gene provides instructions for making the adenosine deaminase enzyme, which is involved in the breakdown (degradation) of certain molecules called purines. Purines are the building blocks of the nucleotides that make up DNA and RNA. The adenosine deaminase enzyme converts a type of purine called adenosine to a different purine called inosine. Inosine is then converted to another purine called guanosine, which can be broken down into its component parts for reuse. Mutations in the ADA gene lead to a deficiency in the adenos",0.4088050314465409,0.20253164556962025,0.30188679245283023
What is (are) Vaginal Diseases ?,"Vaginal problems are some of the most common reasons women go to the doctor. They may have symptoms such as - Itching - Burning - Pain - Abnormal bleeding - Discharge Often, the problem is vaginitis, an inflammation of the vagina. The main symptom is smelly vaginal discharge, but some women have no symptoms. Common causes are bacterial infections, trichomoniasis, and yeast infections. Some other causes of vaginal symptoms include sexually transmitted diseases, vaginal cancer, and vulvar cancer. Treatment of vaginal problems depends on the cause.","Vaginal diseases can affect the reproductive health of women. The vagina is a muscular canal that extends from the cervix (the opening to the uterus) to the outside of the body. The vagina serves several important functions. It acts as a passageway for menstrual flow from the uterus. It is the organ through which intercourse occurs. It is also the site of many types of infections. The vagina contains a normal amount of bacteria that help keep it healthy. Vaginal diseases are common and can be caused by many different factors. These factors include bacteria, viruses, yeast, sexually transmitted diseases (STDs), and pregnancy. Some vaginal",0.3333333333333333,0.05434782608695653,0.22580645161290322
How to prevent Overweight and Obesity ?,"Following a healthy lifestyle can help you prevent overweight and obesity. Many lifestyle habits begin during childhood. Thus, parents and families should encourage their children to make healthy choices, such as following a healthy diet and being physically active. Make following a healthy lifestyle a family goal. For example: Follow a healthy eating plan. Make healthy food choices, keep your calorie needs and your family's calorie needs in mind, and focus on the balance of energy IN and energy OUT. Focus on portion size. Watch the portion sizes in fast food and other restaurants. The portions served often are enough for two or three people. Children's portion sizes should be smaller than those for adults. Cutting back on portion size will help you balance energy IN and energy OUT. Be active. Make personal and family time active. Find activities that everyone will enjoy. For example, go for a brisk walk, bike or rollerblade, or train together for a walk or run. Reduce screen time. Limit the use of TVs, computers, DVDs, and videogames because they limit time for physical activity. Health experts recommend 2hours or less a day of screen time that's not work- or homework-related. Keep track of your weight, body mass index, and waist circumference. Also, keep track of your children's growth. Led by the National Heart, Lung, and Blood Institute, four Institutes from the National Institutes of Health have come together to promote We Can!Ways to Enhance Children's Activity & Nutrition. We Can! is a national education program designed for parents and caregivers to help children 8 to 13 years old maintain a healthy weight. The evidence-based program offers parents and families tips and fun activities to encourage healthy eating, increase physical activity, and reduce time spent being inactive. Currently, more than 140 community groups around the country are participating in We Can! programs for parents and youth. These community groups include hospitals, health departments, clinics, faith-based organizations, YMCAs, schools, and more. ____________ We Can! is a registered trademark of the U.S. Department of Health and Human Services.","The following strategies may help prevent weight gain and reduce your risk of becoming overweight or obese. These strategies are also important for preventing many health problems, including heart disease, diabetes, and cancer. Adults should try to: Be active every day. Try to get at least 2 hours and 30 minutes of physical activity, above usual activities, each week. Be sure to include activities that strengthen muscle and bone in each session. Children and teenagers should do 1 hour or more of physical activity each day. Adults should limit calories from solid fats and added sugars and reduce sodium intake. Follow the Dietary Guidelines for Americans to help you make healthy food choices. Eat a variety of foods.",0.28693790149892934,0.043010752688172046,0.13704496788008566
What are the treatments for chronic granulomatous disease ?,"These resources address the diagnosis or management of chronic granulomatous disease: - American Academy of Allergy, Asthma, and Immunology - Gene Review: Gene Review: Chronic Granulomatous Disease - Genetic Testing Registry: Chronic granulomatous disease, X-linked - Genetic Testing Registry: Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 1 - Genetic Testing Registry: Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2 - Genetic Testing Registry: Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 3 - Genetic Testing Registry: Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative - MedlinePlus Encyclopedia: Chronic Granulomatous Disease - Primary Immune Deficiency Treatment Consortium These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care.","These resources address the diagnosis and treatment of chronic granulomatous disease: - Genetics Home Reference: Chronic granulomatous disease - National Center for Complementary and Integrative Health: Chronic granulomatous disease: In depth - MedlinePlus Encyclopedia: Chronic granulomatous disease - Genetic and Rare Diseases Information Center: Chronic granulomatous disease - National Heart, Lung, and Blood Institute: Chronic granulomatous disease - MedlinePlus: Chronic granulomatous disease - Chronic Granulomatous Disease Foundation - Chronic Granulomatous Disease Registry - Cure4C",0.4565217391304348,0.2747252747252747,0.33695652173913043
Is achromatopsia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means that both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. A couple that is planning to have a child and has a family history of achromatopsia or another condition that can cause similar symptoms (such as albinism) may choose to undergo genetic testing to learn if they carry the mutated gene. If both members of the couple carry one copy of the mutated gene, there is a 25% (1 in 4)",0.6219512195121951,0.6049382716049382,0.6219512195121951
"What are the symptoms of Mental retardation X-linked, South African type ?","What are the signs and symptoms of Mental retardation X-linked, South African type? The Human Phenotype Ontology provides the following list of signs and symptoms for Mental retardation X-linked, South African type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia of the cerebellum 90% Cognitive impairment 90% Decreased body weight 90% Incoordination 90% Long face 90% Macrotia 90% Narrow face 90% Neurological speech impairment 90% Seizures 90% Strabismus 90% Thick eyebrow 90% Adducted thumb 50% Aplasia/Hypoplasia of the corpus callosum 50% Autism 50% Cerebral cortical atrophy 50% Feeding difficulties in infancy 50% Gait disturbance 50% Microcephaly 50% Nystagmus 50% Ophthalmoparesis 50% Pectus excavatum 50% Ventriculomegaly 50% Deeply set eye 7.5% Joint hypermobility 7.5% Mandibular prognathia 7.5% Skeletal muscle atrophy 7.5% Abnormality of the foot - Absent speech - Bowel incontinence - Cerebellar atrophy - Drooling - Dysphagia - Flexion contracture - Happy demeanor - Hyperkinesis - Intellectual disability, progressive - Intellectual disability, severe - Long nose - Loss of ability to walk in first decade - Muscular hypotonia - Mutism - Narrow chest - Neuronal loss in central nervous system - Open mouth - Ophthalmoplegia - Photosensitive tonic-clonic seizures - Sleep disturbance - Slender finger - Truncal ataxia - Urinary incontinence - X-linked dominant inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Mental retardation X-linked, South African type? The Human Phenotype Ontology provides the following list of signs and symptoms for Mental retardation X-linked, South African type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the genitalia 50% Abnormality of the kidneys 50% Abnormality of the skin 50% Abnormality of the urinary system",0.38509316770186336,0.34511434511434513,0.37267080745341613
Is mucopolysaccharidosis type VII inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. The risk for two carrier parents to have a child with an autosomal recessive condition is 25%. The risk is higher for parents who are closely related (consanguineous), because they are more likely to both carry a copy of the same mutated gene from a common ancestor. This risk is increased to 50% when a couple is related in this way and both",0.6181818181818182,0.6134969325153374,0.6181818181818182
What are the genetic changes related to Meier-Gorlin syndrome ?,"Meier-Gorlin syndrome can be caused by mutations in one of several genes. Each of these genes, ORC1, ORC4, ORC6, CDT1, and CDC6, provides instructions for making one of a group of proteins known as the pre-replication complex. This complex regulates initiation of the copying (replication) of DNA before cells divide. Specifically, the pre-replication complex attaches (binds) to certain regions of DNA known as origins of replication, allowing copying of the DNA to begin at that location. This tightly controlled process, called replication licensing, helps ensure that DNA replication occurs only once per cell division and is required for cells to divide. Mutations in any one of these genes impair formation of the pre-replication complex and disrupt replication licensing; however, it is not clear how a reduction in replication licensing leads to Meier-Gorlin syndrome. Researchers speculate that such a reduction delays the cell division process, which impairs growth of the bones and other tissues during development. Some research suggests that some of the pre-replication complex proteins have additional functions, impairment of which may contribute to features of Meier-Gorlin syndrome, such as delayed development of the kneecaps and ears.","Meier-Gorlin syndrome is caused by mutations in the RARS2 gene. The RARS2 gene provides instructions for making an enzyme called ribonucleotide reductase, which plays a key role in DNA replication and repair. The enzyme produced from the RARS2 gene helps convert the chemical building blocks of DNA called ribonucleotides into deoxyribonucleotides, which are necessary for the production of DNA in cells. Mutations in the RARS2 gene reduce or eliminate the activity of this enzyme. The absence of the enzyme necessary for DNA synthesis and repair can lead to the development of certain types of DNA",0.3655172413793103,0.10416666666666666,0.23448275862068965
